AAB	ABELAG AVIATION
SSN	SAHEL AVIATION SERVICE SARLU
SSO	S&S ORINOCO AVIATION C.A.
SSP	STARSPEED LTD
SSQ	SUNSTATE AIRLINES (QLD) PTY
SSR	SARDINIAN SKY SERVICE S.R.L.
SSS	COMPANIA DE SERVICIOS AEREOS, S.A. (SAESA)
SST	ROYAL CANADIAN MOUNTED POLICE (RCMP)
SSU	SERVICIOS AEREOS SUCRE C.A. (SASCA)
SSV	SKYSERVICE
SSX	LYNX AVIATION,INC. (WESTMINSTER,CO)
SSY	SKY AVIATION LTD
SSZ	SPECSAVERS AVIATION LTD
STA	D.O. SYSTEMS LTD
STB	ST BARTH EXECUTIVE
STC	STADIUM CITY LIMITED
STD	SERVICIOS DE AEROTRANSPORTACION DE AGUASCALIENTES, S.A. DE C.V.
STE	FLY FAMG T/A AGULHAS 360
STG	SEDALIA, MARSHALL, BOONVILLE STAGE LINE, INC. (DES MOINES, IA)
STH	RTE / STH
STI	SONTAIR LTD
STJ	EMPER GENERAL AVIATION (SUZHOU) CO., LTD.
STK	STOBART AIR
STL	STAPLEFORD FLIGHT CENTRE
STM	SKYSTREAM AIRLINES AS
STN	ST. ATHAN MU
STO	STREAMLINE OPS, CJSC
STP	STP AIRWAYS
STQ	STARWINGS DORTMUND LUFTFAHRTGESELLSCHAFT MBH, DORTMUND
STR	STERNA LINHAS AEREAS LTDA
STT	WESTERN AIRCRAFT, INC.
STU	STRATEGIC AIRLINES SA
STV	SATURN AVIATION
STW	SOUTHWIND AIRLINES
STX	STARS AWAY AVIATION
STY	ALTIUS AVIATION, LLC (SYRACUSE,NY)
STZ	BIZ AFRICA 1019 CC T/A STUDIO 88 AVIATION
SUA	SILESIA AIR J.S.C.
SUB	SUBURBAN AIR FREIGHT, INC. (OMAHA, NE)
SUD	SUDAN AIRWAYS
SUE	SU AIRLINES
SUF	SUNFLOWER AIRLINES LIMITED
SUG	SUNU AIR
SUI	SWISS AIR FORCE
SUK	SUPERIOR AVIATION SERVICES LTD
SUL	AMERICA DO SUL LINHAS AEREAS LTDA.
SUM	FEDERAL STATE BUDGET INSTITUTION AVIATION RESCUE COMPANY OF EMERCOM OF RUSSIA
SUO	AEROSERVICIOS DE SAN LUIS, S.A. DE C.V.
SUP	AERONAUTICAL CHARTERS INC.
SUQ	SUPERIOR AIR S.A
SUS	SUN-AIR OF SCANDINAVIA A/S
SUT	SUMMIT AIR LTD.
SUU	STAR WEST AVIATION (EVANSTON, WY)
SUV	SUNDANCE AIR S.A.
SUW	SUNNY AIRWAYS CO., LTD
SUY	AERIAL SURVEYS (1980) LTD
SUZ	ZEUSCH AVIATION BV
SVA	SAUDI ARABIAN AIRLINES
SVB	SIAVIA, D.O.O.
SVD	ST. VINCENT GRENADINES AIR (1990) LIMITED
SVE	AERO SERVICIOS ESPECIALIZADOS, S.A. DE C.V.
SVF	SWEDISH ARMED FORCES
SVG	SOLENTA AVIATION GABON
SVH	STERLING HELICOPTERS LTD
SVI	SERVICIOS DE TRANSPORTE AEREO, S.A. DE C.V.
SVK	SKY VISION D.O.O.
SVL	ALANTE AIR CHARTER, LLC
SVN	SAVANAIR (ANGOLA) LDA.
SVO	SERVICIOS AERONAUTICOS DE ORIENTE, S.A. DE C.V.
SVP	STAR AVIATION PVT. LTD
SVR	URAL AIRLINES
SVS	SAS LINK AB
SVT	SEVEN FOUR EIGHT AIR SERVICES LTD
SVV	SALT AVIATION SP. Z.O.O.
SVW	GLOBAL JET LUXEMBOURG S.A.
SVX	SECURITY AVIATION, INC. (ANCHORAGE, AK)
SVY	COOPER AERIAL SURVEYS LTD
SVZ	SERVICIOS EJECUTIVOS AEREOS VIZ, S.A. DE C.V.
SWA	SOUTHWEST AIRLINES CO. (SAN ANTONIO, TX)
SWB	CASS PROFESSIONAL SERVICES, CORP.
SWC	HELIAIR SWEDEN AB
SWD	TRIFLY, LLC (MINNEAPOLIS, MN)
SWE	SVENSKT AMBULANSFLYG
SWF	GALAIR INTERNATIONAL LIMITED
SWG	SUNWING AIRLINES INC.
SWH	ADLER AVIATION LTD
SWI	SUNWORLD INTERNATIONAL AIRWAYS, INC. (LAS VEGAS, NV)
SWK	SUWAIKET AVIATION
SWL	SOUTHWINGS (THAILAND) CO., LTD
SWM	SKY ANGKOR AIRLINES
SWN	WEST ATLANTIC SWEDEN AB
SWO	SURINAM INTERNATIONAL VICTORY AIRLINE N.V.
SWP	STAR WORK SKY
SWQ	IAERO AIRWAYS DBA SWIFT AIR LLC
SWR	SWISS INTERNATIONAL AIR LINES LTD
SWS	LINDQUIST INVESTMENT CO., LTD. D/B/A SUNWEST AVIATION (OGDEN, UT)
SWT	SWIFTAIR S.A.
SWU	SKYALPS
SWV	SVENSK LUFTAMBULANS
SWW	SWISS PRIVATE JET SA
SWX	WERMLANDSFLYG AB
SWZ	CABOLAR (PTY) LTD T/A SKYWISE
SXA	SOUTHERN CROSS AVIATION, INC. (CAMARILLO, CA)
SXC	SKY EXEC AVIATION SERVICES
SXD	SUNEXPRESS DEUTSCHLAND GMBH, FRANKFURT (MAIN)
SXE	AIR SIERRA LEONE
SXF	SOUTHERN CROSS AVIATION INC., LLC
SXG	SUN EXPRESS DEUTSCHLAND GMBH, FRANKFURT AM MAIN
SXI	SOUTHERN CROSS INTERNATIONAL
SXJ	SHANXI SHENFEI JET CO. LTD.
SXL	CORNERSTONE AVIATION, LLC. D/B/A SKYLINE FLIGHT (STOW, MA)
SXM	ST.MAARTEN AIRWAYS
SXN	SAXON AIR
SXP	SOUTH PACIFIC EXPRESS HOLDINGS LIMITED
SXR	SKY EXPRESS
SXS	SUNEXPRESS (GüNEş EKSPRES HAVACıLıK A.Ş.)
SXT	SERVICIOS DE TAXI AEREOS, S.A. DE.C.V.
SXY	SAFARI EXPRESS CARGO LIMITED
SXZ	GREAT CIRCLE AVIATION, LLC (SAN MARCOS, CA)
SYA	SYPHAXAIR
SYB	SKYSERVICE BUSINESS AVIATION INC.
SYC	SYSTEC 2000, INC (WATERFORD, MI)
SYD	FLYING AMBULANCE (PTY) LTD T/A AEROCARE
SYF	SKY ONE EXPRESS AIRLINES INC. (REISTERTOWN, MD)
SYG	ASCEND AIRWAYS LIMITED
SYK	J AND A PROPERTIES D/B/A SATSAIR, INC. (GREENVILLE, SC)
SYL	AIRCOMPANY YAKUTIA, JOINT-STOCK COMPANY
SYM	SKY SERVICES MALTA LTD
SYN	SYNCRUDE CANADA LTD
SYO	SYERSTON FTU
SYP	SYNESIS AVIATION
SYR	SYRIAN ARAB AIRLINES
SYS	SHAWBURY FTU
SYT	AEROSUD AVIATION
SYV	SPECIAL AVIATION SYSTEMS, INC. (LEIPSIC, OH)
SYW	STAR FLY WINGS
SYX	SOUTH AERO, INC.
SYY	SOUTH AFRICAN HISTORIC FLIGHT
SYZ	ZIL AIR PTY LTD
SZA	ASTRO AIR CO., LTD
SZG	SHTOTZ AGRO SERVICE
SZJ	SPRING JET LIMITED
SZL	ROYAL ESWATINI NATIONAL AIRWAYS CORPORATION
SZN	AIR SENEGAL SA
SZS	SCANDINAVIAN AIRLINES IRELAND LIMITED DBA SAS CONNECT
SZT	SERVICIOS AERONAUTICOS Z, S.A. DE C.V.
TAA	AEROSERVICIOS DE LA COSTA, S.A. DE C.V.
TAB	TRANSPORTES AERONAUTICOS DEL BAJIO, S.A. DE C.V.
TAC	THAI AVIATION ACADEMY
TAE	EMPRESA PUBLICA TAME LINEA AEREA DEL ECUADOR (TAME EP)
TAF	TOPFLIGHT AERO-SERVICES LTD.
TAG	TAG AVIATION SAN MARINO S.R.L.
TAH	AIR ANKA AIRLINES INC.- AIR ANKA HAVA YOLLARI A.S.
TAI	TACA INTERNATIONAL AIRLINES S.A.
TAJ	TUNISAVIA - SOCIETE DE TRANSPORTS, SERVICES ET TRAVAUX AERIENS
TAK	TRANSAFRICAN AIR LIMITED
TAL	TALAIR PTY. LTD.
TAM	TAM - LINHAS AEREAS S.A.
TAN	ZANAIR LIMITED
TAO	TRANSPORTES AEROMAR
TAP	TRANSPORTES AEREOS PORTUGUESES, E.P.
TAR	TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR
TAS	LOTUS AIRLINE
TAT	TACA COSTA RICA S.A.
TAU	TRANSPORTES AEREOS TAURO, S.A. DE C.V.
TAV	COMPANIA DE SERVICIOS AEREOS TAVISA
TAW	TIAN-SHAN AIR COMPANY
TAX	THAI AIRASIA X CO., LTD
TAY	ASL AIRLINES BELGIUM
TBA	TIBET AIRLINES CO., LTD
TBB	AIR IBERIA
TBC	TBILISI AIRWAYS
TBE	TAXI AERO BAE, S.A. DE C.V.
TBI	TAB EXPRESS INTERNATIONAL (DELAND, FL)
TBJ	TAG AVIATION ASIA LIMITED
TBL	TERRIBLE HERBST INC.
TBM	TABAN AIR LINES
TBN	TABAN AIRLINES
TBO	RWS AVIATION, LLC
TBR	AIR BTR LTD
TBS	TIMBIS AIR SERVICES
TBT	TOMBOUCTOU AVIATION COMPANY
TBZ	ATA AIRLINES
TCA	TRADECRAFT NIGERIA LTD
TCB	TRANSPORTE AEREO DE COLOMBIA
TCC	TRANS CONTINENTAL AIRLINES
TCD	TCHAD AIRLINES
TCE	TRANS-COLORADO AIRLINES, INC. (GUNNISON, CO)
TCF	FLORIDA INSTITUTE OF TECHNOLOGY
TCG	TRANSAFRICAINE AIR CARGO
TCH	TRANSCONTINENTAL AIR WLL
TCI	AMBER AVIATION LIMITED
TCJ	TAG AVIATION (CAYMAN) SEZC
TCK	TRANS CARAVAN KG
TCL	ESCAPE AVIATION D/B/A COASTAL AIR TRANSPORT (FAIRHOPE, AL)
TCM	TELEDYNE CONTINENTAL MOTORS (MUSKEGON, MI)
TCN	JET EXCELLENCE, LLC
TCO	AEROTRANSCOLOMBIANA DE CARGA LTDA.
TCP	TRANSCORP AIRWAYS
TCQ	AMBER AVIATION SAN MARINO S.R.L.
TCR	LANEAS AEREAS TRANS COSTA RICA S.A.
TCS	ATS, PRIVATE COMPANY
TCT	TRANSCONTINENTAL SUR S.R.L.
TCU	TRANSGLOBAL AIRWAYS CORPORATION
TCV	TRANSPORTES AEREOS DE CABO VERDE - TACV
TCW	VLM AIRLINES N.V.
TCX	THOMAS COOK AIRLINES LTD
TCY	TWIN CITIES AIR SERVICE, INC. (AUBURN, ME)
TDA	TREND AVIATION, LLC (ORLANDO,FL)
TDB	WELCH AVIATION, INC. (ALPENA, MI)
TDC	TADAIR, S.A.
TDE	TELAVIA D/B/A FLIGHT ONE, INC. (TELLURIDE, CO)
TDG	AIR CARGO EXPRESS, INC. (LITTLE ROCK, AR)
TDI	TRANSPORTES AEREOS DE IXTLAN, S.A. DE C.V.
TDJ	ALISERIO SRL
TDM	TANDEM-AERO SRL
TDR	TRADE AIR
TDS	TSARADIA
TDT	ATLAS HELICOPTERS LTD
TDV	TAXI AEREO NACIONAL DEL EVORA, S.A. DE C.V.
TEA	EXECUTIVE TURBINE AVIATION (PTY) LTD
TEC	ADI SHUTTLE GROUP,LLC (MATHER,CA)
TED	AERO SERVICIOS AZTECA, S.A. DE C.V.
TEE	WEST FREUGH DTEO
TEF	TECNICAS FOTOGRAFICAS, S.L.
TEG	AEROSERVICIOS DE TLALTENANGO, S.A. DE C.V.
TEK	AERO-TECH SERVICES
TEL	TELFORD AVIATION, INC. (WATERVILLE, ME)
TEM	TECH-MONT HELICOPTER COMPANY LTD
TEN	TENNESSEE AIRWAYS (ALCOA, TN)
TEO	TRANSAEREO 5074, C.A.
TEP	TRANSPORTES EJECUTIVOS PIZA S.A DE R.L
TER	TERRITORIAL AIRLINES, INC. (SANTA FE, NM)
TES	TAESPEJO PORTUGAL, LDA
TET	TEPAVIA-TRANS AIRLINE
TEU	TAG AVIATION (MALTA) LTD
TEW	AIRTEAM CHARTER (PTY) LTD
TEX	FREEDOM JETS
TEZ	TEZ JET AIRLINES
TFA	TRANS-FLORIDA AIRLINES (DAYTONA BEACH, FL)
TFB	TAIR AIRWAYS, INC.
TFF	TALON AIR, INC. (FARMINGDALE, NY)
TFG	BLUESTREAM AVIATION LTD
TFH	THAI FLYING HELICOPTER SERVICE CO., LTD.
TFJ	TRUSTFLIGHT (JERSEY) LTD
TFL	TUI AIRLINES NEDERLAND
TFN	NORWEGIAN AVIATION COLLEGE A/S (NAC)
TFO	TRANSPORTES AEREOS DEL PACIFICO, S.A. DE C.V.
TFR	AIR FREIGHT NZ LTD
TFS	TFF GMBH, OSNABRUECK
TFT	THAI FLYING SERVICE CO. LTD
TFX	TEAM GLOBAL EXPRESS PTY LTD
TFY	TAYSIDE AVIATION LTD
TFZ	FLYBEENA
TGA	AVIASHELF
TGC	TG AVIATION LTD
TGE	TRABAJOS AEREOS S.A.
TGG	TIGER AIRWAYS AUSTRALIA PTY LTD
TGI	JSC AIR TENGRI
TGM	TAG AVIATION ESPANA, S.A.
TGN	TRIGANA AIR SERVICE, PT.
TGO	CANADA - TRANSPORT CANADA
TGP	TROPICANA AIRLINES
TGT	SAAB AB
TGU	TRANSPORTES AEREOS GUATEMALTECOS
TGW	SCOOT PTE. LTD.
TGX	TRANSAIR GABON
TGY	TRANS GUYANA AIRWAYS
TGZ	GEORGIAN AIRWAYS
THA	THAI AIRWAYS INTERNATIONAL LTD.
THB	BBN AIRLINES (THAILAND) CO., LTD.
THC	TRANSPORTES NACIONALES CA
THD	THAI SMILE AIRWAYS
THE	TOUMAI AIR TCHAD
THF	TOURAINE HELICOPTERE
THG	THAI GLOBAL AIRLINE CO., LTD
THK	TURK HAVA KURUMU HAVA TAKSI ISLETMESI
THL	TERNHILL (RAF)
THO	THRO AVIATION, INC.
THR	TEHRAN AIRLINE
THS	TUSAS TURK HAVACILIK VE UZAY SANAYI A.S.
THT	AIR TAHITI NUI
THU	THUNDER AIRLINES LTD
THY	TURK HAVA YOLLARI (TURKISH AIRLINES CO.)
THZ	TRANS HELICOPTERE SERVICE
TIA	TRANS INTERNATIONAL AIRLINES
TIB	TRIP, TRANSPORTE AEREO REGIONAL DO INTERIO PAULISTA LTDA
TIC	TRANSPORTES AEREOS COSTARRICENSES
TIE	TIME AIR
TIF	TRANSPORT AERIEN INTERCARAIBES
TIG	TIGER HELICOPTERS LTD
TIH	S.C.ION TIRIAC S.A.
TII	TAILTE EIREANN
TIK	TIC AIR
TIL	TAJIKISTAN INTERNATIONAL AIRLINES
TIM	TEAM TRANSPORTES AEREOS
TIN	AIR TINDI LTD.
TIP	C AND M AVIATION (BUTTE, MT)
TIR	ANTAIR, S.A. DE C.V.
TIS	AVIATIS
TIV	CORPORATE FLIGHT INTERNATIONAL, DBA THRIVE AVIATION
TIW	TRANSCARGA INTL AIRWAYS, C.A.
TIX	FLEXFLIGHT S.R.L
TJA	TAPJETS INC
TJB	TAYARAN JET
TJD	ALISERIO SRL
TJE	TOMZAJET, S.A. DE C.V.
TJJ	BLESSINGS AVIATION LTD.
TJK	TAJIKAIR
TJN	TIEN-SHAN
TJS	TYROLEAN JET SERVICE NFG, GMBH & CO. KG
TJT	TWIN JET
TKA	TRANSLIZ AVIATION (K) LTD
TKC	THY HAVA KARGO TASIMACILIGI A.S.
TKF	UK ROYAL/VIP HELICOPTER FLIGHTS
TKH	MATER LOGISTICS, LLC
TKI	TURKU AIR OY
TKJ	AJET HAVA TASIMACILIGI ANONIM SIRKETI
TKK	AERO WAYS, INC. (NEW CASTLE, DE)
TKM	JM FAMILY AVIATION (FT. LAUDERDALE, FL)
TKN	FLY KISH AIRLINES
TKU	TRANSAFRIC UGANDA LIMITED
TKW	SAMSUNG TECHWIN CO., LTD
TKX	TROPICAL INTERNATIONAL AIRWAYS
TLA	AEREOTCLA, S.A. DE C.V.
TLB	ATLANTIQUE AIR ASSISTANCE
TLC	CARIBBEAN EXPRESS, INC. (MIAMI SPRINGS, FL)
TLE	AERO UTIL, S.A. DE C.V.
TLF	TRANSPORT AFRICA LIMITED
TLG	INVESTAVIA JSC, AIRCOMPANY
TLI	TL AVIATION GMBH
TLJ	THALAIR
TLK	STARLINK AVIATION
TLL	TRANS ATLANTIC AIRLINES LTD
TLM	THAI LION MENTARI CO., LTD
TLN	AEROTAXI ATLANTICO, S.A. DE C.V.
TLR	AIR LIBYA TIBESTI
TLS	TLC AIR, INC. (CARROLTON, TX)
TLT	TURTLE AIRWAYS LTD.
TLU	AERO TOLUCA INTERNACIONAL, S.A. DE C.V.
TLV	TRAVELAIR
TLX	TELESIS TRANSAIR, INC. (DALLAS, TX)
TLY	TOP-FLY
TLZ	TRANSLIZ AVIATION (TMS) LTD
TMA	TRANS MEDITERRANEAN AIRLINES (TMA)
TMB	XTRORDINAIR
TMC	TRAVEL MANAGEMENT COMPANY LTD (ELKHART, IN)
TMD	TRANSMANDU, C.A.
TME	THOMAS AIR
TMG	TRI MG INTRA ASIA AIRLINES, PT.
TMH	TVS JOINT-STOCK COMPANY
TMI	TAMIR AIRWAYS LTD
TMJ	TAMGA JET LLP
TMK	TOMAHAWK AIRWAYS, INC. (ALCOA, TN)
TML	SOCIETE ANONYME DE TRANSPORT ET TRAVAUX AERIENS DE MADAGASCAR (TAM)
TMM	TRAFFIC MANAGEMENT CORPORATION (TMC) AIRLINES (YPSILANTI, MI)
TMN	TASMAN CARGO AIRLINES PTY LTD
TMP	CENTENE MANAGEMENT COMPANY, LLC
TMQ	TRAM, SOCIETE
TMR	TAMARA NIGER AVIATION
TMS	TEMSCO HELICOPTERS, INC. (KETCHIKAN, AK)
TMT	TITAN AIRWAYS MALTA
TMW	TRANS MALDIVIAN AIRWAYS PVT., LTD
TMX	TRAMON AIR CC
TMZ	TRANSPORTE AMAZON AIR C.A.
TNB	TRANS AIR BENIN
TNC	TRANSCANCUN SERVICES, S.A. DE C.V.
TNE	TAXIS AEREOS DEL NOROESTE,S.A. DE C.V.
TNF	TRANSAFRICAINE S.A.
TNI	SCHWAN'S SHARED SERVICES LLC (MARSHALL, MN)
TNK	AIRMAX AIRLINES, INC.(WAYZATA,MN)
TNL	TENGERIYN ULAACH SHINE
TNM	TIARA AIR
TNO	AEROTRANSPORTE DE CARGA UNION, S.A. DE C.V.
TNR	TANANA AIR SERVICES (TANANA, AK)
TNU	TRANSNUSA AVIATION MANDIRI, PT.
TNV	TRANSNORTHERN, LLC (ANCHORAGE, AK)
TNW	TRANS NATION AIRWAYS LTD
TNX	TRENER LTD
TNY	TWIN AIR CALYPSO LIMITED, INC. (FT. LAUDERDALE, FL)
TNZ	TEXEL AIR LTD
TOA	HELICOPTER SERVICES LTD
TOB	TOBRUK AIR
TOC	AEROTROPICAL, S.A. DE C.V.
TOF	TOPCLIFFE FTU
TOG	PARAGON AVIATION LOGISTICS, INC. DBA CSM AVIATION
TOJ	TOJ AIRLINES
TOK	AIRLINES OF PAPUA NEW GUINEA (APNG)
TOM	TUI AIRWAYS LIMITED
TON	LULUTAI AIRLINES LIMITED
TOP	TOP AIR HAVACILIK SANAYI VE TICARET A.S.
TOR	FLYGTA INC.
TOS	TROPIC AIR LTD
TOT	ANIVIA SERVICOS AEREOS LTDA
TOW	AIRTANKER SERVICES LTD
TOY	TOYO AVIATION
TPA	TRANSPORTES AEREOS MERCANTILES PANAMERICANOS S.A. (TAMPA)
TPB	AERO TROPICAL, LDA
TPC	AIR CALEDONIE
TPD	TROPICAL AERO SERVICIOS, S.R.L.
TPE	TRANSPORTES PENINSULARES TERRESTRES AEREOS Y MARITIMOS S.A. DE C.V.
TPF	TAXIS AEREOS DEL PACIFICO, S.A. DE C.V.
TPG	TRANSPORTES AEREOS PEGASO, S.A. DE C.V.
TPJ	TEMPUS JETS, INC. (MAPLE, NC)
TPK	AIR HORIZON
TPL	TAR INTERPILOT
TPM	TRANSPAIS AEREO, S.A. DE C.V.
TPN	TRANSPORTACION AEREA DEL NORTE, S.A. DE C.V.
TPO	AERO TAXI DEL POTOSI, S.A.
TPQ	TROPIC AIRLINES
TPR	TAXIS AEREOS DE PARRAL, S.A. DE C.V.
TPS	TRANSPORTES AEREOS PETROLEROS (T.A.P.S.A.)
TPT	TRANSPORTE AEREO DEL SURESTE, S.A. DE C.V.
TPU	TRANS AMERICAN AIRLINES S.A. - TRANS AM
TPX	TRANSPORTES AEREOS DE XALAPA, S.A. DE C.V.
TPZ	TRANSPORTES LA PAZ, S.A. DE C.V.
TQE	TAXAIR MEXIQUENSES, S.A. DE C.V.
TQF	UK ROYAL/VIP HELICOPTER FLIGHTS
TQN	TAQUAN AIR SERVICES, INC. (KETCHIKAN, AK)
TQQ	TARCO AVIATION COMPANY LIMITED
TQR	TRANSPORTACION AEREA DE QUERETARO, S.A. DE C.V.
TRA	TRANSAVIA HOLLAND B.V.
TRB	RABBIT WINGS AIRWAYS CO., LTD
TRC	TRANS AIR CHARTER, INC. (FULLERTON, CA)
TRD	TRANS ISLAND AIR 2000
TRF	THRUST FLIGHT
TRG	TRANSCARGO
TRH	TURUKHAN AIRLINES
TRJ	TURBO MEGA AIRWAYS PVT. LTD.
TRK	TURKISH AIRLINES GENERAL AVIATION
TRL	STARLITE AVIATION PTY LTD
TRM	TRANSPORT AERIEN DE MAURITANIE (TAM)
TRN	SERVICIOS AEREOS CORPORATIVOS, S.A. DE C.V.
TRO	TROPIC AIRLINES-AIR MOLOKAI(HONOLULU, HI)
TRP	MARYLAND STATE POLICE (PIKESVILLE, MD)
TRQ	TARCO AIR
TRR	TRAMSON LIMITED
TRS	AIRTRAN AIRWAYS, INC. (ORLANDO, FL)
TRT	TRANS ARABIAN AIR TRANSPORT
TRU	TRIANGLE AIRLINE (UGANDA) LTD
TRV	TARON-AVIA LLC
TRW	TRANSWESTERN AIRLINES OF UTAH (LOGAN, UT)
TRX	TRANSPORTES AEREOS TERRESTRES, S.A DE C.V.
TRY	TRISTAR AIRLINES, INC. (LAS VEGAS, NV)
TRZ	TRANSMERIDIAN AIRLINES (HOUSTON, TX)
TSA	TRANSAIR FRANCE
TSC	AIR TRANSAT A.T. INC.
TSD	TAF-LINHAS AEREAS S/A
TSE	TRANSMILE AIR SERVICES (M) SDN. BHD.
TSG	TRANS-AIR-CONGO
TSH	REGIONAL 1 AIRLINES LTD
TSI	TRANSPORT'AIR
TSJ	COMBINED PRIVATE INVESTIGATIONS CC T/A CPI AVIATION
TSK	TASHKENTAIR, LLC
TSL	THAI AVIATION SERVICES LIMITED
TSM	SKYLOUNGE SERVICES S.A.L.
TSN	TRANS-AIR SERVICES LIMITED
TSO	TRANSAERO AIRLINES
TSP	TONLESAP AIRLINES
TSQ	AIR TRANSSE CO., LTD
TSR	TJS SAN MARINO
TSS	TRI-STATE AERO, INC. (EVANSVILLE, IL)
TST	SHATA AIR SERVICES LTD
TSU	GULF & CARIBBEAN CARGO, INC. (WATERFORD, MI)
TSV	TROPAIR AIRSERVICES
TSW	TRANSWING
TSY	TRISTAR AIR
TTA	TTA -SOCIEDADE DE TRANSPORTE E TRABALHO AEREO, S.A.R.L.
TTB	AEROLINEAS TURISTICAS DEL CARIBE, S.A. DE C.V.
TTC	TRANSTECO
TTD	SERVICIOS AEREOS INTERESTATALES, S.A. DE C.V.
TTE	AVCENTER, INC. (POCATELLO, ID)
TTF	224TH FLIGHT UNIT
TTG	TRAI THIEN AIR CARGO
TTJ	TATRA JET, S.R.O.
TTL	TOTAL LINHAS AEREAS S/A
TTM	SOCIETE TOUT TRANSPORT MAURITANIEN
TTN	ABSOLUTE FLIGHT SERVICES (PTY) LTD
TTO	AIR TRANSPORT & TRANSIT REGIONAL
TTP	TRIPLE O. AVIATION LTD
TTR	ALAMAN AIR
TTS	TRANSPORTE AEREO TECNICO EJECUTIVO, S.A. DE C.V.
TTU	TANTALUS AIR LTD.
TTV	T-AIR, SPOL. S.R.O.
TTW	TIGERAIR TAIWAN CO. LD.
TTX	EXTRAORDIN AIR AVIATION AND CHARTER (HOUSTON, TX)
TTY	THAI TOURS AND TRANS AIRWAYS CO., LTD
TTZ	TANTALUS AIR LTD
TUA	TURKMENISTAN AIRLINES OPEN JOINT STOCK COMPANY
TUB	TRUE AVIATION LIMITED
TUD	PAKLOOK AIR SERVICES DBA: YUTE COMMUTER SERVICES
TUG	TURKMENHOWAYOLLARY
TUI	TUIFLY GMBH, LANGENHAGEN
TUJ	TAJOUJ AVIATION
TUL	TULPAR AIR
TUM	UTAIR CLOSED JSC
TUN	TUNISIAN AIR FORCE
TUO	TAXI AEREO TURISTICO, S.A. DE C.V.
TUP	AVIASTAR-TU CO. LTD
TUR	AEROTURPIAL
TUS	TRUSTCO GROUP INTERNATIONAL (PTY) LTD
TUX	TUNISAIR EXPRESS
TUY	LINEA TURISTICA AEREOTUY LTA, C.A.
TUZ	DASHOGUZ INTERNATIONAL AIRPORT
TVA	TRANS AMERICA AIRLINES INC.
TVD	AEROFLIGHT ACADEMY OF AVIATION, INC. (SEATTLE, WA)
TVF	TRANSAVIA FRANCE
TVI	TIRAMAVIA LTD
TVJ	THAI VIETJET AIR JOINT STOCK CO., LTD.
TVL	SMARTWINGS HUNGARY KFT.
TVP	SMARTWINGS POLAND
TVQ	SMARTWINGS SLOVAKIA, S.R.O.
TVR	TERRA AVIA
TVS	SMARTWINGS, A.S.
TVT	TAXIS AEREOS DEL VALLE DE TOLUCA, S.A. DE C.V.
TVV	TRAVIRA AIR
TWB	T'WAY AIR CO., LTD
TWC	CANADIAN AIRWAYS CONGO
TWD	WINGS AVIATION LTD
TWE	TRANSWEDE AIRWAYS AB
TWF	247 JET LTD
TWG	AIR-TAXI EUROPE GMBH,BRAUNSCHWEIG
TWI	TAILWIND HAVAYOLLARI A.S.
TWN	AVIALEASING AVIATION COMPANY
TWR	TRANSWORLD AIRFREIGHTERS
TWT	TRANSWISATA PRIMA AVIATION, PT.
TWW	TRANS AIR WELWITCHIA
TWY	SUNSET AVIATION, LLC (PETALUMA, CA)
TXA	DEER HORN AVIATION LTD CO
TXB	TAXIS AEREOS DE CABORCA, S.A. DE C.V.
TXC	TRANSAVIAEXPORT
TXD	AEROTAXIS DEL NOROESTE, S.A. DE C.V.
TXF	AEROTAXIS ALFE, S.A. DE C.V.
TXG	7AIR LLC.
TXH	BELL HELICOPTER
TXI	AEREOTAXIS, S.A. DE C.V.
TXJ	BRILLIANT JET CO., LTD.
TXL	TAXI AEREO COZATL, S.A. DE C.V.
TXM	TAXI AEREO DE MEXICO
TXN	TEXAS NATIONAL AIRLINES (SAN ANTONIO, TX)
TXO	TAXIS AEREOS DE SINALOA, S.A. DE C.V.
TXP	ASIAN EXPRESS
TXR	TAXIREY, S.A. DE C.V.
TXS	TEXAS AIRLINES, INC. (GALVESTON, TX)
TXT	GROUP ONE, INC. D/B/A TEXAS AIR CHARTERS (DENTON, TX)
TXV	PUERTO VALLARTA TAXI AEREO, S.A. DE C.V.
TXX	AUSTIN EXPRESS, INC. (AUSTIN, TX)
TXZ	THAI EXPRESS AIR CO. LTD.
TYA	JOINT-STOCK COMPANY NORDSTAR AIRLINES
TYC	TRANSYLVANIA INTERNATIONAL AIRLINES
TYF	TAYFLITE LIMITED
TYG	BEIJING TIANYI GENERAL AVIATION CO., LTD
TYJ	TYROLEAN JET SERVICES MALTA LTD.
TYL	DAMASCENE AIRLINES
TYM	TRANSPORTES Y MANTENIMIENTOS ESPECIALIZADOS DE MEXICO, S.A. DE C.V.
TYR	TYROLEAN AIRWAYS - TIROLER LUFTFAHRT GMBH
TYT	NATIONAL FLIGHT CENTRE LTD.
TYW	TYROL AIR AMBULANCE GMBH
TZA	AERO TOMZA, S.A. DE C.V.
TZE	TRANSPORTE AEREO ERNESTO SAENZ, S.A. DE C.V.
TZK	TAJIKISTAN
TZP	ZIPAIR TOKYO INC.
TZR	RAINBOW AIR, C.A.
TZS	TCA LTD
TZT	AIR ZAMBEZI
